kPosicaox,kPosicaoy,kPosicaoz,SetPointx,SetPointy,SetPointz,Largura de Pulso x,Largura de Pulso y,Largura de Pulso z,Gyrox,Gyroy,Gyroz,Tempo
-13.458310504663695,-1.3921609516076268,45.486265152680225,0.0,0.0,45.0,1153,1141,1208,-7.977099236641221,2.8931297709923665,-0.9847328244274809,1540668477.975924
-13.59146673419746,-1.381599203706332,45.23792059530125,0.0,0.0,45.0,1153,1141,1190,-9.129770992366412,1.3893129770992367,-14.236641221374045,1540668477.992938
-13.685221267791569,-1.5077670977099253,44.96867610798402,0.0,0.0,45.0,1153,1141,1190,-7.068702290076335,-6.99236641221374,-16.198473282442748,1540668478.009396
-13.74771086421662,-1.6334626602104643,44.86564134562034,0.0,0.0,45.0,1153,1141,1190,-5.114503816793893,-6.900763358778626,-5.923664122137405,1540668478.025758
-13.724634107034547,-1.667153761431981,44.941112431710344,0.0,0.0,45.0,1153,1141,1170,0.07633587786259542,-1.2442748091603053,4.870229007633588,1540668478.042778
-13.739660476177665,-1.605291475718829,45.280425376654264,0.0,0.0,45.0,1090,1141,1064,-2.1908396946564888,4.427480916030534,20.435114503816795,1540668478.059869
-13.803899694520513,-1.4167072193127144,45.59504849636215,0.0,0.0,45.0,1090,1141,1074,-5.091603053435114,11.893129770992367,18.923664122137403,1540668478.07713
-13.863593615315303,-1.2625215015798108,45.481717728275974,0.0,0.0,45.0,1153,1141,1190,-4.778625954198473,9.748091603053435,-6.236641221374046,1540668478.094291
-13.935789016393832,-1.3151438992508317,45.22587111441029,0.0,0.0,45.0,1153,1141,1190,-5.687022900763359,-2.427480916030534,-15.17557251908397,1540668478.111273
-13.920922175914441,-1.4631116658493024,45.10379600354104,0.0,0.0,45.0,1153,1141,1190,-0.44274809160305345,-7.786259541984733,-6.694656488549619,1540668478.128107
-13.853608023853402,-1.535280348000402,45.15884407554395,0.0,0.0,45.0,1153,1141,1177,2.7251908396946565,-3.549618320610687,3.6564885496183206,1540668478.145117
-13.765856167451297,-1.5284575944410423,45.50491672223229,0.0,0.0,45.0,1090,1141,1058,3.8396946564885495,1.16793893129771,20.641221374045802,1540668478.161962
-13.733503134298552,-1.4300354875793064,45.849595350274754,0.0,0.0,45.0,1090,1141,1060,0.6335877862595419,6.656488549618321,20.984732824427482,1540668478.179089
-13.657270141843432,-1.583726151187391,45.61802327465246,0.0,0.0,45.0,1153,1141,1190,2.7557251908396947,-7.412213740458015,-11.961832061068701,1540668478.198112
-13.597580633527473,-1.7554214476697643,45.51624163247581,0.0,0.0,45.0,1153,1141,1190,2.282442748091603,-9.541984732824428,-5.748091603053435,1540668478.215109
-13.552733660409775,-1.8524950646920748,45.6511465159618,0.0,0.0,45.0,1153,1141,1143,1.3206106870229009,-4.908396946564886,8.251908396946565,1540668478.231998
-13.545492371911703,-1.9432789965322796,45.98187870587555,0.0,0.0,45.0,1090,1141,1064,-0.8702290076335878,-4.641221374045801,20.068702290076335,1540668478.249064
-13.574936475332608,-1.8958470578332234,46.215153678391445,0.0,0.0,45.0,1153,1141,1104,-3.0381679389312977,3.564885496183206,14.122137404580153,1540668478.26642
-13.674502211826253,-1.8865522878761518,46.25288642737457,0.0,0.0,45.0,1153,1141,1180,-7.3893129770992365,1.3358778625954197,2.6717557251908395,1540668478.282607
-13.78027650244647,-1.9057745874150136,46.05246204381633,0.0,0.0,45.0,1153,1141,1190,-7.625954198473282,-0.3816793893129771,-11.618320610687023,1540668478.299358
-13.872969054417847,-2.055216856542194,45.82016000539648,0.0,0.0,45.0,1153,1142,1190,-7.076335877862595,-8.541984732824428,-14.106870229007633,1540668478.315668
-13.962368632803251,-2.2590962288343786,45.63852970436021,0.0,0.0,45.0,1153,1142,1190,-6.572519083969466,-11.251908396946565,-10.34351145038168,1540668478.332711
-14.000772238880762,-2.397672124498559,45.74756672540698,0.0,0.0,45.0,1154,1142,1154,-3.5267175572519083,-7.259541984732825,6.679389312977099,1540668478.349943
-14.096743117954402,-2.3492571844053876,46.05353252803138,0.0,0.0,45.0,1090,1142,1075,-7.030534351145038,3.6564885496183206,18.625954198473284,1540668478.367159
